publisher_docid;XP;batchid;time_stamp
week17b_5753465_5760077_5760290;XP031863075;XP031863075.pdf;20110624_165520
week17b_5753465_5760077_5760291;XP031863076;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753465_5760077_5760291;XP031863076;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753465_5760077_5760291;XP031863076;XP031863076.pdf;20110624_165520
week17b_5753465_5760077_5760292;XP031863077;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753465_5760077_5760292;XP031863077;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753465_5760077_5760292;XP031863077;XP031863077.pdf;20110624_165520
week17b_5753465_5760077_5760293;XP031863078;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753465_5760077_5760293;XP031863078;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753465_5760077_5760293;XP031863078;XP031863078.pdf;20110624_165520
week17b_5753870_5762435_5762436;XP031863079;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762436;XP031863079;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762436;XP031863079;XP031863079.pdf;20110624_165520
week17b_5753870_5762435_5762437;XP031863080;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762437;XP031863080;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762437;XP031863080;XP031863080.pdf;20110624_165520
week17b_5753870_5762435_5762438;XP031863081;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762438;XP031863081;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762438;XP031863081;XP031863081.pdf;20110624_165520
week17b_5753870_5762435_5762439;XP031863082;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762439;XP031863082;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762439;XP031863082;XP031863082.pdf;20110624_165520
week17b_5753870_5762435_5762440;XP031863083;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762440;XP031863083;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762440;XP031863083;XP031863083.pdf;20110624_165520
week17b_5753870_5762435_5762441;XP031863084;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762441;XP031863084;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762441;XP031863084;XP031863084.pdf;20110624_165520
week17b_5753870_5762435_5762442;XP031863085;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762442;XP031863085;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762442;XP031863085;XP031863085.pdf;20110624_165520
week17b_5753870_5762435_5762443;XP031863086;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762443;XP031863086;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762443;XP031863086;XP031863086.pdf;20110624_165520
week17b_5753870_5762435_5762444;XP031863087;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762444;XP031863087;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762444;XP031863087;XP031863087.pdf;20110624_165520
week17b_5753870_5762435_5762445;XP031863088;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762445;XP031863088;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762445;XP031863088;XP031863088.pdf;20110624_165520
week17b_5753870_5762435_5762446;XP031863089;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762446;XP031863089;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762446;XP031863089;XP031863089.pdf;20110624_165520
week17b_5753870_5762435_5762447;XP031863090;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762447;XP031863090;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762447;XP031863090;XP031863090.pdf;20110624_165520
week17b_5753870_5762435_5762448;XP031863091;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762448;XP031863091;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762448;XP031863091;XP031863091.pdf;20110624_165520
week17b_5753870_5762435_5762449;XP031863092;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762449;XP031863092;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762449;XP031863092;XP031863092.pdf;20110624_165520
week17b_5753870_5762435_5762450;XP031863093;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762450;XP031863093;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762450;XP031863093;XP031863093.pdf;20110624_165520
week17b_5753870_5762435_5762452;XP031863094;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762452;XP031863094;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762452;XP031863094;XP031863094.pdf;20110624_165520
week17b_5753870_5762435_5762453;XP031863095;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762453;XP031863095;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
week17b_5753870_5762435_5762453;XP031863095;XP031863095.pdf;20110624_165520
week17b_5753870_5762435_5762454;XP031863096;IEEECONFERENCE_week17b.xml;20110624_165520
week17b_5753870_5762435_5762454;XP031863096;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165520
