publisher_docid;batchid_in;time_stamp
week17b_1028_5760826_5760864;IEEEcnf/week17b/1028.zip;20110622_005933
week17b_1028_5760826_5760865;InspecMetadata/week17b/XML.zip;20110622_005933
week17b_1028_5760826_5760865;IEEEcnf/week17b/1028.zip;20110622_005933
week17b_1028_5760826_5760866;InspecMetadata/week17b/XML.zip;20110622_005934
week17b_1028_5760826_5760866;IEEEcnf/week17b/1028.zip;20110622_005934
week17b_1028_5760826_5760867;InspecMetadata/week17b/XML.zip;20110622_005934
week17b_1028_5760826_5760867;IEEEcnf/week17b/1028.zip;20110622_005934
week17b_1028_5760826_5760868;InspecMetadata/week17b/XML.zip;20110622_005934
week17b_1028_5760826_5760868;IEEEcnf/week17b/1028.zip;20110622_005934
week17b_1028_5760826_5760869;InspecMetadata/week17b/XML.zip;20110622_005934
week17b_1028_5760826_5760869;IEEEcnf/week17b/1028.zip;20110622_005934
week17b_1028_5760826_5760870;InspecMetadata/week17b/XML.zip;20110622_005934
week17b_1028_5760826_5760870;IEEEcnf/week17b/1028.zip;20110622_005934
week17b_1028_5760826_5760871;InspecMetadata/week17b/XML.zip;20110622_005935
week17b_1028_5760826_5760871;IEEEcnf/week17b/1028.zip;20110622_005935
week17b_1028_5760826_5760872;InspecMetadata/week17b/XML.zip;20110622_005935
week17b_1028_5760826_5760872;IEEEcnf/week17b/1028.zip;20110622_005935
week17b_1028_5760826_5760873;InspecMetadata/week17b/XML.zip;20110622_005936
week17b_1028_5760826_5760873;IEEEcnf/week17b/1028.zip;20110622_005936
week17b_1028_5760826_5760874;InspecMetadata/week17b/XML.zip;20110622_005936
week17b_1028_5760826_5760874;IEEEcnf/week17b/1028.zip;20110622_005936
week17b_1028_5760826_5760875;InspecMetadata/week17b/XML.zip;20110622_005937
week17b_1028_5760826_5760875;IEEEcnf/week17b/1028.zip;20110622_005937
week17b_1028_5760826_5760876;InspecMetadata/week17b/XML.zip;20110622_005937
week17b_1028_5760826_5760876;IEEEcnf/week17b/1028.zip;20110622_005937
week17b_1028_5760826_5760877;InspecMetadata/week17b/XML.zip;20110622_005937
week17b_1028_5760826_5760877;IEEEcnf/week17b/1028.zip;20110622_005937
week17b_1028_5760826_5760878;InspecMetadata/week17b/XML.zip;20110622_005937
week17b_1028_5760826_5760878;IEEEcnf/week17b/1028.zip;20110622_005937
week17b_1028_5760826_5760879;InspecMetadata/week17b/XML.zip;20110622_005937
week17b_1028_5760826_5760879;IEEEcnf/week17b/1028.zip;20110622_005937
week17b_1028_5760826_5760880;InspecMetadata/week17b/XML.zip;20110622_005938
week17b_1028_5760826_5760880;IEEEcnf/week17b/1028.zip;20110622_005938
week17b_1028_5760826_5760881;InspecMetadata/week17b/XML.zip;20110622_005938
week17b_1028_5760826_5760881;IEEEcnf/week17b/1028.zip;20110622_005938
week17b_1028_5760826_5760882;InspecMetadata/week17b/XML.zip;20110622_005939
week17b_1028_5760826_5760882;IEEEcnf/week17b/1028.zip;20110622_005939
week17b_1028_5760826_5760883;InspecMetadata/week17b/XML.zip;20110622_005939
week17b_1028_5760826_5760883;IEEEcnf/week17b/1028.zip;20110622_005939
week17b_1028_5760826_5760884;InspecMetadata/week17b/XML.zip;20110622_005939
week17b_1028_5760826_5760884;IEEEcnf/week17b/1028.zip;20110622_005939
week17b_1028_5760826_5760885;InspecMetadata/week17b/XML.zip;20110622_005939
week17b_1028_5760826_5760885;IEEEcnf/week17b/1028.zip;20110622_005939
week17b_1028_5760826_5760886;InspecMetadata/week17b/XML.zip;20110622_005939
week17b_1028_5760826_5760886;IEEEcnf/week17b/1028.zip;20110622_005939
week17b_1028_5760826_5760887;InspecMetadata/week17b/XML.zip;20110622_005940
week17b_1028_5760826_5760887;IEEEcnf/week17b/1028.zip;20110622_005940
week17b_1028_5760826_5760888;InspecMetadata/week17b/XML.zip;20110622_005940
week17b_1028_5760826_5760888;IEEEcnf/week17b/1028.zip;20110622_005940
week17b_1028_5760826_5760889;InspecMetadata/week17b/XML.zip;20110622_005940
week17b_1028_5760826_5760889;IEEEcnf/week17b/1028.zip;20110622_005940
week17b_1028_5760826_5760890;InspecMetadata/week17b/XML.zip;20110622_005940
week17b_1028_5760826_5760890;IEEEcnf/week17b/1028.zip;20110622_005940
week17b_1028_5760826_5760891;InspecMetadata/week17b/XML.zip;20110622_005941
week17b_1028_5760826_5760891;IEEEcnf/week17b/1028.zip;20110622_005941
week17b_1028_5760826_5760892;InspecMetadata/week17b/XML.zip;20110622_005941
week17b_1028_5760826_5760892;IEEEcnf/week17b/1028.zip;20110622_005941
week17b_1028_5760826_5760893;InspecMetadata/week17b/XML.zip;20110622_005941
week17b_1028_5760826_5760893;IEEEcnf/week17b/1028.zip;20110622_005941
week17b_1028_5760826_5760894;InspecMetadata/week17b/XML.zip;20110622_005942
week17b_1028_5760826_5760894;IEEEcnf/week17b/1028.zip;20110622_005942
week17b_1028_5760826_5760895;InspecMetadata/week17b/XML.zip;20110622_005942
week17b_1028_5760826_5760895;IEEEcnf/week17b/1028.zip;20110622_005942
week17b_1028_5760826_5760896;InspecMetadata/week17b/XML.zip;20110622_005942
week17b_1028_5760826_5760896;IEEEcnf/week17b/1028.zip;20110622_005942
week17b_1028_5760826_5760897;InspecMetadata/week17b/XML.zip;20110622_005942
week17b_1028_5760826_5760897;IEEEcnf/week17b/1028.zip;20110622_005942
week17b_1028_5760826_5760898;InspecMetadata/week17b/XML.zip;20110622_005942
week17b_1028_5760826_5760898;IEEEcnf/week17b/1028.zip;20110622_005942
week17b_1028_5760826_5760899;InspecMetadata/week17b/XML.zip;20110622_005943
week17b_1028_5760826_5760899;IEEEcnf/week17b/1028.zip;20110622_005943
week17b_1028_5760826_5760900;InspecMetadata/week17b/XML.zip;20110622_005943
week17b_1028_5760826_5760900;IEEEcnf/week17b/1028.zip;20110622_005943
week17b_1028_5760826_5760901;InspecMetadata/week17b/XML.zip;20110622_005944
week17b_1028_5760826_5760901;IEEEcnf/week17b/1028.zip;20110622_005944
week17b_1028_5760826_5760902;InspecMetadata/week17b/XML.zip;20110622_005944
week17b_1028_5760826_5760902;IEEEcnf/week17b/1028.zip;20110622_005944
week17b_1028_5760826_5760903;InspecMetadata/week17b/XML.zip;20110622_005944
week17b_1028_5760826_5760903;IEEEcnf/week17b/1028.zip;20110622_005944
week17b_1028_5760826_5760904;InspecMetadata/week17b/XML.zip;20110622_005944
week17b_1028_5760826_5760904;IEEEcnf/week17b/1028.zip;20110622_005944
week17b_1028_5760826_5760905;InspecMetadata/week17b/XML.zip;20110622_005944
week17b_1028_5760826_5760905;IEEEcnf/week17b/1028.zip;20110622_005944
week17b_1028_5760826_5760906;InspecMetadata/week17b/XML.zip;20110622_005945
week17b_1028_5760826_5760906;IEEEcnf/week17b/1028.zip;20110622_005945
week17b_1028_5760826_5760907;InspecMetadata/week17b/XML.zip;20110622_005945
week17b_1028_5760826_5760907;IEEEcnf/week17b/1028.zip;20110622_005945
week17b_1028_5760826_5760908;InspecMetadata/week17b/XML.zip;20110622_005945
week17b_1028_5760826_5760908;IEEEcnf/week17b/1028.zip;20110622_005945
week17b_1028_5760826_5760909;InspecMetadata/week17b/XML.zip;20110622_005946
week17b_1028_5760826_5760909;IEEEcnf/week17b/1028.zip;20110622_005946
week17b_1028_5760826_5760910;InspecMetadata/week17b/XML.zip;20110622_005946
week17b_1028_5760826_5760910;IEEEcnf/week17b/1028.zip;20110622_005946
week17b_1028_5760826_5760911;InspecMetadata/week17b/XML.zip;20110622_005946
week17b_1028_5760826_5760911;IEEEcnf/week17b/1028.zip;20110622_005946
week17b_1028_5760826_5760912;InspecMetadata/week17b/XML.zip;20110622_005947
