publisher_docid;XP;batchid;time_stamp
week4b_5692855_5704590_5704737;XP031889653;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704737;XP031889653;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704737;XP031889653;XP031889653.pdf;20110729_061254
week4b_5692855_5704590_5704738;XP031889654;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704738;XP031889654;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704738;XP031889654;XP031889654.pdf;20110729_061254
week4b_5692855_5704590_5704739;XP031889655;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704739;XP031889655;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704739;XP031889655;XP031889655.pdf;20110729_061254
week4b_5692855_5704590_5704740;XP031889656;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704740;XP031889656;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704740;XP031889656;XP031889656.pdf;20110729_061254
week4b_5692855_5704590_5704741;XP031889657;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704741;XP031889657;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704741;XP031889657;XP031889657.pdf;20110729_061254
week4b_5692855_5704590_5704742;XP031889658;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704742;XP031889658;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704742;XP031889658;XP031889658.pdf;20110729_061254
week4b_5692855_5704590_5704743;XP031889659;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704743;XP031889659;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704743;XP031889659;XP031889659.pdf;20110729_061254
week4b_5692855_5704590_5704744;XP031889660;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704744;XP031889660;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704744;XP031889660;XP031889660.pdf;20110729_061254
week4b_5692855_5704590_5704745;XP031889661;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704745;XP031889661;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704745;XP031889661;XP031889661.pdf;20110729_061254
week4b_5692855_5704590_5704746;XP031889662;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704746;XP031889662;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704746;XP031889662;XP031889662.pdf;20110729_061254
week4b_5692855_5704590_5704747;XP031889663;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704747;XP031889663;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704747;XP031889663;XP031889663.pdf;20110729_061254
week4b_5692855_5704590_5704748;XP031889664;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704748;XP031889664;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704748;XP031889664;XP031889664.pdf;20110729_061254
week4b_5692855_5704590_5704749;XP031889665;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704749;XP031889665;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704749;XP031889665;XP031889665.pdf;20110729_061254
week4b_5692855_5704590_5704750;XP031889666;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704750;XP031889666;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704750;XP031889666;XP031889666.pdf;20110729_061254
week4b_5692855_5704590_5704751;XP031889667;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704751;XP031889667;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704751;XP031889667;XP031889667.pdf;20110729_061254
week4b_5692855_5704590_5704752;XP031889668;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704752;XP031889668;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704752;XP031889668;XP031889668.pdf;20110729_061254
week4b_5692855_5704590_5704753;XP031889669;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704753;XP031889669;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704753;XP031889669;XP031889669.pdf;20110729_061254
week4b_5692855_5704590_5704754;XP031889670;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704754;XP031889670;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704754;XP031889670;XP031889670.pdf;20110729_061254
week4b_5692855_5704590_5704755;XP031889671;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704755;XP031889671;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704755;XP031889671;XP031889671.pdf;20110729_061254
week4b_5692855_5704590_5704756;XP031889672;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704756;XP031889672;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704756;XP031889672;XP031889672.pdf;20110729_061254
week4b_5692855_5704590_5704757;XP031889673;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704757;XP031889673;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704757;XP031889673;XP031889673.pdf;20110729_061254
week4b_5692855_5704590_5704758;XP031889674;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704758;XP031889674;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704758;XP031889674;XP031889674.pdf;20110729_061254
week4b_5692855_5704590_5704759;XP031889675;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704759;XP031889675;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704759;XP031889675;XP031889675.pdf;20110729_061254
week4b_5692855_5704590_5704760;XP031889676;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704760;XP031889676;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704760;XP031889676;XP031889676.pdf;20110729_061254
week4b_5692855_5704590_5704761;XP031889677;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704761;XP031889677;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704761;XP031889677;XP031889677.pdf;20110729_061254
week4b_5692855_5704590_5704762;XP031889678;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704762;XP031889678;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704762;XP031889678;XP031889678.pdf;20110729_061254
week4b_5692855_5704590_5704763;XP031889679;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_5692855_5704590_5704763;XP031889679;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_5692855_5704590_5704763;XP031889679;XP031889679.pdf;20110729_061254
