publisher_docid;XP;batchid;time_stamp
week5b_1008_7986_341331;XP031901315;IEEECONFERENCE_week5b.xml;20110813_122821
week5b_1008_7986_341331;XP031901315;P1X.DF.PX.IEEECONF.D110813.G04.xml;20110813_122821
week5b_1008_7986_341331;XP031901315;XP031901315.pdf;20110813_122821
week5b_10181_32504_1518212;XP031901316;IEEECONFERENCE_week5b.xml;20110813_122821
week5b_10181_32504_1518212;XP031901316;P1X.DF.PX.IEEECONF.D110813.G04.xml;20110813_122821
week5b_10181_32504_1518212;XP031901316;XP031901316.pdf;20110813_122821
week5b_4525555_4525556_4525596;XP031901317;IEEECONFERENCE_week5b.xml;20110813_122821
week5b_4525555_4525556_4525596;XP031901317;P1X.DF.PX.IEEECONF.D110813.G04.xml;20110813_122821
week5b_4525555_4525556_4525596;XP031901317;XP031901317.pdf;20110813_122821
week5b_5428240_5433812_5433821;XP031901318;IEEECONFERENCE_week5b.xml;20110813_122821
week5b_5428240_5433812_5433821;XP031901318;P1X.DF.PX.IEEECONF.D110813.G04.xml;20110813_122821
week5b_5428240_5433812_5433821;XP031901318;XP031901318.pdf;20110813_122821
week5b_5573642_5583929_5584453;XP031901319;IEEECONFERENCE_week5b.xml;20110813_122821
week5b_5573642_5583929_5584453;XP031901319;P1X.DF.PX.IEEECONF.D110813.G04.xml;20110813_122821
week5b_5573642_5583929_5584453;XP031901319;XP031901319.pdf;20110813_122821
week5b_5656620_5671569_5671979;XP031901320;IEEECONFERENCE_week5b.xml;20110813_122821
week5b_5656620_5671569_5671979;XP031901320;P1X.DF.PX.IEEECONF.D110813.G04.xml;20110813_122821
week5b_5656620_5671569_5671979;XP031901320;XP031901320.pdf;20110813_122821
week5b_5661642_5669423_5669455;XP031901321;IEEECONFERENCE_week5b.xml;20110813_122821
week5b_5661642_5669423_5669455;XP031901321;P1X.DF.PX.IEEECONF.D110813.G04.xml;20110813_122821
week5b_5661642_5669423_5669455;XP031901321;XP031901321.pdf;20110813_122821
week5b_5661642_5669423_5669482;XP031901322;IEEECONFERENCE_week5b.xml;20110813_122821
week5b_5661642_5669423_5669482;XP031901322;P1X.DF.PX.IEEECONF.D110813.G04.xml;20110813_122821
week5b_5661642_5669423_5669482;XP031901322;XP031901322.pdf;20110813_122821
week5b_5676675_5681663_5681664;XP031901323;IEEECONFERENCE_week5b.xml;20110813_122821
week5b_5676675_5681663_5681664;XP031901323;P1X.DF.PX.IEEECONF.D110813.G04.xml;20110813_122821
week5b_5676675_5681663_5681664;XP031901323;XP031901323.pdf;20110813_122821
week5b_5676675_5681663_5681665;XP031901324;IEEECONFERENCE_week5b.xml;20110813_122821
week5b_5676675_5681663_5681665;XP031901324;P1X.DF.PX.IEEECONF.D110813.G04.xml;20110813_122821
week5b_5676675_5681663_5681665;XP031901324;XP031901324.pdf;20110813_122821
week5b_5676675_5681663_5681666;XP031901325;IEEECONFERENCE_week5b.xml;20110813_122821
week5b_5676675_5681663_5681666;XP031901325;P1X.DF.PX.IEEECONF.D110813.G04.xml;20110813_122821
week5b_5676675_5681663_5681666;XP031901325;XP031901325.pdf;20110813_122821
week5b_5676675_5681663_5681667;XP031901326;IEEECONFERENCE_week5b.xml;20110813_122821
week5b_5676675_5681663_5681667;XP031901326;P1X.DF.PX.IEEECONF.D110813.G04.xml;20110813_122821
