publisher_docid;batchid_in;time_stamp
week17b_10133_32429_1514002;InspecMetadata/week17b/XML.zip;20110622_004034
week17b_10133_32429_1514002;IEEEper/week17b/10133.zip;20110622_004034
week17b_10231_32631_1527949;InspecMetadata/week17b/XML.zip;20110622_004034
week17b_10231_32631_1527949;IEEEper/week17b/10231.zip;20110622_004034
week17b_1028_5760826_5760827;InspecMetadata/week17b/XML.zip;20110622_004035
week17b_1028_5760826_5760827;IEEEper/week17b/1028.zip;20110622_004035
week17b_1028_5760826_5760828;InspecMetadata/week17b/XML.zip;20110622_004035
week17b_1028_5760826_5760828;IEEEper/week17b/1028.zip;20110622_004035
week17b_1028_5760826_5760829;InspecMetadata/week17b/XML.zip;20110622_004035
week17b_1028_5760826_5760829;IEEEper/week17b/1028.zip;20110622_004035
week17b_1028_5760826_5760830;InspecMetadata/week17b/XML.zip;20110622_004035
week17b_1028_5760826_5760830;IEEEper/week17b/1028.zip;20110622_004035
week17b_1028_5760826_5760831;InspecMetadata/week17b/XML.zip;20110622_004035
week17b_1028_5760826_5760831;IEEEper/week17b/1028.zip;20110622_004035
week17b_1028_5760826_5760832;InspecMetadata/week17b/XML.zip;20110622_004035
week17b_1028_5760826_5760832;IEEEper/week17b/1028.zip;20110622_004035
week17b_1028_5760826_5760833;InspecMetadata/week17b/XML.zip;20110622_004035
week17b_1028_5760826_5760833;IEEEper/week17b/1028.zip;20110622_004035
week17b_1028_5760826_5760834;InspecMetadata/week17b/XML.zip;20110622_004035
week17b_1028_5760826_5760834;IEEEper/week17b/1028.zip;20110622_004035
week17b_1028_5760826_5760835;InspecMetadata/week17b/XML.zip;20110622_004035
week17b_1028_5760826_5760835;IEEEper/week17b/1028.zip;20110622_004035
week17b_1028_5760826_5760836;InspecMetadata/week17b/XML.zip;20110622_004035
week17b_1028_5760826_5760836;IEEEper/week17b/1028.zip;20110622_004035
week17b_1028_5760826_5760837;InspecMetadata/week17b/XML.zip;20110622_004035
week17b_1028_5760826_5760837;IEEEper/week17b/1028.zip;20110622_004035
week17b_1028_5760826_5760838;InspecMetadata/week17b/XML.zip;20110622_004036
week17b_1028_5760826_5760838;IEEEper/week17b/1028.zip;20110622_004036
week17b_1028_5760826_5760839;InspecMetadata/week17b/XML.zip;20110622_004036
week17b_1028_5760826_5760839;IEEEper/week17b/1028.zip;20110622_004036
week17b_1028_5760826_5760840;InspecMetadata/week17b/XML.zip;20110622_004036
week17b_1028_5760826_5760840;IEEEper/week17b/1028.zip;20110622_004036
week17b_1028_5760826_5760841;InspecMetadata/week17b/XML.zip;20110622_004036
week17b_1028_5760826_5760841;IEEEper/week17b/1028.zip;20110622_004036
week17b_1028_5760826_5760842;InspecMetadata/week17b/XML.zip;20110622_004036
week17b_1028_5760826_5760842;IEEEper/week17b/1028.zip;20110622_004036
week17b_1028_5760826_5760843;InspecMetadata/week17b/XML.zip;20110622_004036
week17b_1028_5760826_5760843;IEEEper/week17b/1028.zip;20110622_004036
week17b_1028_5760826_5760844;InspecMetadata/week17b/XML.zip;20110622_004036
week17b_1028_5760826_5760844;IEEEper/week17b/1028.zip;20110622_004036
week17b_1028_5760826_5760845;InspecMetadata/week17b/XML.zip;20110622_004036
week17b_1028_5760826_5760845;IEEEper/week17b/1028.zip;20110622_004036
week17b_1028_5760826_5760846;InspecMetadata/week17b/XML.zip;20110622_004036
week17b_1028_5760826_5760846;IEEEper/week17b/1028.zip;20110622_004036
week17b_1028_5760826_5760847;InspecMetadata/week17b/XML.zip;20110622_004036
week17b_1028_5760826_5760847;IEEEper/week17b/1028.zip;20110622_004036
week17b_1028_5760826_5760848;InspecMetadata/week17b/XML.zip;20110622_004036
