publisher_docid;batchid_out;status;time_stamp
week17b_1028_5760826_5760924;week17b.zip;ok;20110622_005951
week17b_1028_5760826_5760925;week17b.zip;ok;20110622_005951
week17b_1028_5760826_5760926;week17b.zip;ok;20110622_005951
week17b_1028_5760826_5760927;week17b.zip;ok;20110622_005951
week17b_1028_5760826_5760928;week17b.zip;ok;20110622_005952
week17b_1028_5760826_5760929;week17b.zip;ok;20110622_005952
week17b_1028_5760826_5760930;week17b.zip;ok;20110622_005953
week17b_1028_5760826_5760931;week17b.zip;ok;20110622_005953
week17b_1028_5760826_5760932;week17b.zip;ok;20110622_005953
week17b_1028_5760826_5760933;week17b.zip;ok;20110622_005953
week17b_1028_5760826_5760934;week17b.zip;ok;20110622_005953
week17b_1028_5760826_5760935;week17b.zip;ok;20110622_005954
week17b_1028_5760826_5760936;week17b.zip;ok;20110622_005954
week17b_1028_5760826_5760937;week17b.zip;ok;20110622_005954
week17b_1028_5760826_5760938;week17b.zip;ok;20110622_005954
week17b_1028_5760826_5760939;week17b.zip;ok;20110622_005955
week17b_1028_5760826_5760940;week17b.zip;ok;20110622_005955
week17b_1028_5760826_5760941;week17b.zip;ok;20110622_005956
week17b_1028_5760826_5760942;week17b.zip;ok;20110622_005956
week17b_1028_5760826_5760943;week17b.zip;ok;20110622_005956
week17b_1028_5760826_5760944;week17b.zip;ok;20110622_005956
week17b_1028_5760826_5760945;week17b.zip;ok;20110622_005956
week17b_1028_5760826_5760946;week17b.zip;ok;20110622_005957
week17b_1028_5760826_5760947;week17b.zip;ok;20110622_005957
week17b_1028_5760826_5760948;week17b.zip;ok;20110622_005958
week17b_1028_5760826_5760949;week17b.zip;ok;20110622_005958
week17b_1028_5760826_5760950;week17b.zip;ok;20110622_005958
week17b_1028_5760826_5760951;week17b.zip;ok;20110622_005958
week17b_1028_5760826_5760952;week17b.zip;ok;20110622_005958
week17b_1028_5760826_5760953;week17b.zip;ok;20110622_005959
week17b_1028_5760826_5760954;week17b.zip;ok;20110622_005959
week17b_1028_5760826_5760955;week17b.zip;ok;20110622_005959
week17b_1028_5760826_5760956;week17b.zip;ok;20110622_005959
week17b_1028_5760826_5760957;week17b.zip;ok;20110622_010000
week17b_1028_5760826_5760958;week17b.zip;ok;20110622_010001
week17b_1028_5760826_5760959;week17b.zip;ok;20110622_010001
week17b_1028_5760826_5760960;week17b.zip;ok;20110622_010002
week17b_1028_5760826_5760961;week17b.zip;ok;20110622_010003
week17b_1028_5760826_5760962;week17b.zip;ok;20110622_010003
week17b_1028_5760826_5760963;week17b.zip;ok;20110622_010004
week17b_1028_5760826_5760964;week17b.zip;ok;20110622_010005
week17b_1028_5760826_5760965;week17b.zip;ok;20110622_010009
week17b_1028_5760826_5760966;week17b.zip;ok;20110622_010011
week17b_1028_5760826_5760967;week17b.zip;ok;20110622_010013
week17b_1028_5760826_5760968;week17b.zip;ok;20110622_010014
week17b_1028_5760826_5760969;week17b.zip;ok;20110622_010016
week17b_1028_5760826_5760970;week17b.zip;ok;20110622_010016
week17b_1028_5760826_5760971;week17b.zip;ok;20110622_010017
week17b_1028_5760826_5760972;week17b.zip;ok;20110622_010019
week17b_1028_5760826_5760973;week17b.zip;ok;20110622_010019
week17b_1028_5760826_5760974;week17b.zip;ok;20110622_010019
week17b_1028_5760826_5760975;week17b.zip;ok;20110622_010019
week17b_1028_5760826_5760976;week17b.zip;ok;20110622_010020
week17b_1028_5760826_5760977;week17b.zip;ok;20110622_010020
week17b_1028_5760826_5760978;week17b.zip;ok;20110622_010020
week17b_1028_5760826_5760979;week17b.zip;ok;20110622_010022
week17b_1028_5760826_5760980;week17b.zip;ok;20110622_010022
week17b_1028_5760826_5760981;week17b.zip;ok;20110622_010023
week17b_1028_5760826_5760982;week17b.zip;ok;20110622_010023
week17b_1028_5760826_5760983;week17b.zip;ok;20110622_010024
week17b_1028_5760826_5760984;week17b.zip;ok;20110622_010024
week17b_1028_5760826_5760985;week17b.zip;ok;20110622_010024
week17b_1028_5760826_5760986;week17b.zip;ok;20110622_010025
week17b_1028_5760826_5760987;week17b.zip;ok;20110622_010025
week17b_1028_5760826_5760988;week17b.zip;ok;20110622_010026
week17b_1028_5760826_5760989;week17b.zip;ok;20110622_010026
week17b_1028_5760826_5760990;week17b.zip;ok;20110622_010027
week17b_1028_5760826_5760991;week17b.zip;ok;20110622_010027
week17b_1028_5760826_5760992;week17b.zip;ok;20110622_010027
week17b_1028_5760826_5760993;week17b.zip;ok;20110622_010027
week17b_1028_5760826_5760994;week17b.zip;ok;20110622_010028
week17b_1028_5760826_5760995;week17b.zip;ok;20110622_010028
week17b_1028_5760826_5760996;week17b.zip;ok;20110622_010029
week17b_1028_5760826_5760997;week17b.zip;ok;20110622_010029
week17b_1028_5760826_5760998;week17b.zip;ok;20110622_010029
week17b_1028_5760826_5760999;week17b.zip;ok;20110622_010030
week17b_1028_5760826_5761000;week17b.zip;ok;20110622_010030
week17b_1028_5760826_5761001;week17b.zip;ok;20110622_010031
week17b_1028_5760826_5761002;week17b.zip;ok;20110622_010031
week17b_1028_5760826_5761003;week17b.zip;ok;20110622_010031
week17b_1028_5760826_5761004;week17b.zip;ok;20110622_010032
week17b_1028_5760826_5761005;week17b.zip;ok;20110622_010032
week17b_1028_5760826_5761006;;ignored;20110622_010032
week17b_1028_5760826_5761007;week17b.zip;ok;20110622_010035
week17b_1028_5760826_5761008;;ignored;20110622_010035
week17b_1028_5760826_5761009;week17b.zip;ok;20110622_010036
week17b_1028_5760826_5761010;;ignored;20110622_010036
week17b_1028_5760826_5761011;;ignored;20110622_010036
week17b_1028_5760826_5761013;;noPdf;20110622_010036
week17b_1028_5760826_5761014;;noPdf;20110622_010037
week17b_1028_5760826_5761015;;noPdf;20110622_010037
week17b_1028_5760826_5761016;;noPdf;20110622_010037
week17b_1028_5760826_5761017;;noPdf;20110622_010037
week17b_1028_5760826_5761018;;noPdf;20110622_010037
week17b_1028_5760826_5761019;;noPdf;20110622_010037
week17b_1028_5760826_5761020;;noPdf;20110622_010037
week17b_1028_5760826_5761021;;noPdf;20110622_010037
week17b_1028_5760826_5761022;;noPdf;20110622_010037
week17b_1028_5760826_5761023;;noPdf;20110622_010037
week17b_1028_5760826_5761024;;noPdf;20110622_010037
week17b_1028_5760826_5761025;;noPdf;20110622_010037
week17b_1028_5760826_5761026;;noPdf;20110622_010037
week17b_1028_5760826_5761027;;noPdf;20110622_010037
week17b_1028_5760826_5761028;;noPdf;20110622_010037
week17b_1028_5760826_5761029;;noPdf;20110622_010037
week17b_1028_5760826_5761030;;noPdf;20110622_010037
week17b_1028_5760826_5761031;;noPdf;20110622_010037
week17b_1028_5760826_5761032;;noPdf;20110622_010037
week17b_1028_5760826_5761033;;noPdf;20110622_010037
week17b_1028_5760826_5761034;;noPdf;20110622_010037
week17b_1028_5760826_5761035;;noPdf;20110622_010037
week17b_1028_5760826_5761036;;noPdf;20110622_010037
week17b_1028_5760826_5761037;;noPdf;20110622_010037
week17b_1028_5760826_5761038;;noPdf;20110622_010037
week17b_1028_5760826_5761039;;noPdf;20110622_010037
week17b_1028_5760826_5761040;;noPdf;20110622_010037
week17b_1028_5760826_5761041;;noPdf;20110622_010037
week17b_1028_5760826_5761042;;noPdf;20110622_010037
week17b_1028_5760826_5761043;;noPdf;20110622_010037
week17b_1028_5760826_5761044;;noPdf;20110622_010037
week17b_1028_5760826_5761045;;noPdf;20110622_010037
week17b_1028_5760826_5761046;;noPdf;20110622_010037
week17b_1028_5760826_5761047;;noPdf;20110622_010037
week17b_1028_5760826_5761048;;noPdf;20110622_010037
week17b_1028_5760826_5761049;;noPdf;20110622_010037
week17b_1028_5760826_5761050;;noPdf;20110622_010037
week17b_1028_5760826_5761051;;noPdf;20110622_010037
week17b_1028_5760826_5761052;;noPdf;20110622_010037
