publisher_docid;XP;batchid;time_stamp
week5a_4691017_4700142_4700272;XP031897937;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_4691017_4700142_4700272;XP031897937;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_4691017_4700142_4700272;XP031897937;XP031897937.pdf;20110813_102346
week5a_5207499_5211536_5211649;XP031897938;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5207499_5211536_5211649;XP031897938;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5207499_5211536_5211649;XP031897938;XP031897938.pdf;20110813_102346
week5a_5423775_5430567_5430568;XP031897939;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430568;XP031897939;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430568;XP031897939;XP031897939.pdf;20110813_102346
week5a_5423775_5430567_5430569;XP031897940;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430569;XP031897940;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430569;XP031897940;XP031897940.pdf;20110813_102346
week5a_5423775_5430567_5430570;XP031897941;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430570;XP031897941;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430570;XP031897941;XP031897941.pdf;20110813_102346
week5a_5423775_5430567_5430571;XP031897942;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430571;XP031897942;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430571;XP031897942;XP031897942.pdf;20110813_102346
week5a_5423775_5430567_5430572;XP031897943;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430572;XP031897943;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430572;XP031897943;XP031897943.pdf;20110813_102346
week5a_5423775_5430567_5430573;XP031897944;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430573;XP031897944;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430573;XP031897944;XP031897944.pdf;20110813_102346
week5a_5423775_5430567_5430574;XP031897945;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430574;XP031897945;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430574;XP031897945;XP031897945.pdf;20110813_102346
week5a_5423775_5430567_5430575;XP031897946;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430575;XP031897946;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430575;XP031897946;XP031897946.pdf;20110813_102346
week5a_5423775_5430567_5430576;XP031897947;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430576;XP031897947;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430576;XP031897947;XP031897947.pdf;20110813_102346
week5a_5423775_5430567_5430577;XP031897948;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430577;XP031897948;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430577;XP031897948;XP031897948.pdf;20110813_102346
week5a_5423775_5430567_5430578;XP031897949;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430578;XP031897949;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430578;XP031897949;XP031897949.pdf;20110813_102346
week5a_5423775_5430567_5430579;XP031897950;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430579;XP031897950;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430579;XP031897950;XP031897950.pdf;20110813_102346
week5a_5423775_5430567_5430580;XP031897951;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430580;XP031897951;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430580;XP031897951;XP031897951.pdf;20110813_102346
week5a_5423775_5430567_5430581;XP031897952;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430581;XP031897952;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430581;XP031897952;XP031897952.pdf;20110813_102346
week5a_5423775_5430567_5430582;XP031897953;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430582;XP031897953;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430582;XP031897953;XP031897953.pdf;20110813_102346
week5a_5423775_5430567_5430583;XP031897954;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430583;XP031897954;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430583;XP031897954;XP031897954.pdf;20110813_102346
week5a_5423775_5430567_5430584;XP031897955;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430584;XP031897955;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430584;XP031897955;XP031897955.pdf;20110813_102346
week5a_5423775_5430567_5430585;XP031897956;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430585;XP031897956;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430585;XP031897956;XP031897956.pdf;20110813_102346
week5a_5423775_5430567_5430586;XP031897957;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430586;XP031897957;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430586;XP031897957;XP031897957.pdf;20110813_102346
week5a_5423775_5430567_5430587;XP031897958;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430587;XP031897958;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430587;XP031897958;XP031897958.pdf;20110813_102346
week5a_5423775_5430567_5430588;XP031897959;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430588;XP031897959;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430588;XP031897959;XP031897959.pdf;20110813_102346
week5a_5423775_5430567_5430589;XP031897960;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430589;XP031897960;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430589;XP031897960;XP031897960.pdf;20110813_102346
week5a_5423775_5430567_5430590;XP031897961;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430590;XP031897961;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430590;XP031897961;XP031897961.pdf;20110813_102346
week5a_5423775_5430567_5430591;XP031897962;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430591;XP031897962;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430591;XP031897962;XP031897962.pdf;20110813_102346
week5a_5423775_5430567_5430592;XP031897963;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430592;XP031897963;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430592;XP031897963;XP031897963.pdf;20110813_102346
week5a_5423775_5430567_5430593;XP031897964;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430593;XP031897964;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430593;XP031897964;XP031897964.pdf;20110813_102346
week5a_5423775_5430567_5430594;XP031897965;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430594;XP031897965;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430594;XP031897965;XP031897965.pdf;20110813_102346
week5a_5423775_5430567_5430595;XP031897966;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430595;XP031897966;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430595;XP031897966;XP031897966.pdf;20110813_102346
week5a_5423775_5430567_5430596;XP031897967;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430596;XP031897967;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430596;XP031897967;XP031897967.pdf;20110813_102346
week5a_5423775_5430567_5430597;XP031897968;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430597;XP031897968;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430597;XP031897968;XP031897968.pdf;20110813_102346
week5a_5423775_5430567_5430598;XP031897969;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430598;XP031897969;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430598;XP031897969;XP031897969.pdf;20110813_102346
week5a_5423775_5430567_5430599;XP031897970;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430599;XP031897970;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430599;XP031897970;XP031897970.pdf;20110813_102346
week5a_5423775_5430567_5430600;XP031897971;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430600;XP031897971;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430600;XP031897971;XP031897971.pdf;20110813_102346
week5a_5423775_5430567_5430601;XP031897972;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430601;XP031897972;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430601;XP031897972;XP031897972.pdf;20110813_102346
week5a_5423775_5430567_5430602;XP031897973;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430602;XP031897973;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430602;XP031897973;XP031897973.pdf;20110813_102346
week5a_5423775_5430567_5430603;XP031897974;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430603;XP031897974;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430603;XP031897974;XP031897974.pdf;20110813_102346
week5a_5423775_5430567_5430604;XP031897975;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430604;XP031897975;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430604;XP031897975;XP031897975.pdf;20110813_102346
week5a_5423775_5430567_5430605;XP031897976;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430605;XP031897976;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430605;XP031897976;XP031897976.pdf;20110813_102346
week5a_5423775_5430567_5430606;XP031897977;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430606;XP031897977;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
week5a_5423775_5430567_5430606;XP031897977;XP031897977.pdf;20110813_102346
week5a_5423775_5430567_5430607;XP031897978;IEEECONFERENCE_week5a.xml;20110813_102346
week5a_5423775_5430567_5430607;XP031897978;P1X.DF.PX.IEEECONF.D110813.G03.xml;20110813_102346
