publisher_docid;XP;batchid;time_stamp
week4a_5608545_5625939_5627212;XP031883763;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627212;XP031883763;XP031883763.pdf;20110728_064654
week4a_5608545_5625939_5627213;XP031883764;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627213;XP031883764;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627213;XP031883764;XP031883764.pdf;20110728_064654
week4a_5608545_5625939_5627214;XP031883765;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627214;XP031883765;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627214;XP031883765;XP031883765.pdf;20110728_064654
week4a_5608545_5625939_5627215;XP031883766;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627215;XP031883766;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627215;XP031883766;XP031883766.pdf;20110728_064654
week4a_5608545_5625939_5627216;XP031883767;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627216;XP031883767;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627216;XP031883767;XP031883767.pdf;20110728_064654
week4a_5608545_5625939_5627217;XP031883768;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627217;XP031883768;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627217;XP031883768;XP031883768.pdf;20110728_064654
week4a_5608545_5625939_5627218;XP031883769;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627218;XP031883769;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627218;XP031883769;XP031883769.pdf;20110728_064654
week4a_5608545_5625939_5627219;XP031883770;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627219;XP031883770;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627219;XP031883770;XP031883770.pdf;20110728_064654
week4a_5608545_5625939_5627220;XP031883771;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627220;XP031883771;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627220;XP031883771;XP031883771.pdf;20110728_064654
week4a_5608545_5625939_5627221;XP031883772;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627221;XP031883772;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627221;XP031883772;XP031883772.pdf;20110728_064654
week4a_5608545_5625939_5627222;XP031883773;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627222;XP031883773;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627222;XP031883773;XP031883773.pdf;20110728_064654
week4a_5608545_5625939_5627223;XP031883774;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627223;XP031883774;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627223;XP031883774;XP031883774.pdf;20110728_064654
week4a_5608545_5625939_5627224;XP031883775;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627224;XP031883775;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627224;XP031883775;XP031883775.pdf;20110728_064654
week4a_5608545_5625939_5627225;XP031883776;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627225;XP031883776;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627225;XP031883776;XP031883776.pdf;20110728_064654
week4a_5608545_5625939_5627226;XP031883777;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627226;XP031883777;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627226;XP031883777;XP031883777.pdf;20110728_064654
week4a_5608545_5625939_5627227;XP031883778;IEEECONFERENCE_week4a.xml;20110728_064654
week4a_5608545_5625939_5627227;XP031883778;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064654
week4a_5608545_5625939_5627227;XP031883778;XP031883778.pdf;20110728_064654
week4a_5608545_5625939_5627228;XP031883779;IEEECONFERENCE_week4a.xml;20110728_064654
